,law_2020_2,law_2016_1,govt_trust_2016_2,govt_trust_2020_8,out_2016_1,out_2016_2,out_2016_3,out_2020_1,out_2020_2,law_diff,govt_trust_diff,group
48,0.0,0.85,0.0,0.25,1.0,1.0,1.0,1.0,1.0,-0.85,0.25,0
49,0.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,-1.0,0.0,0
50,0.0,0.12,0.0,0.25,1.0,1.0,0.8333333333333334,0.0,0.3333333333333333,-0.12,0.25,1
51,0.0,0.4,0.0,0.0,1.0,0.0,0.8333333333333334,0.0,1.0,-0.4,0.0,1
52,0.5,0.83,0.0,0.5,0.0,1.0,0.8333333333333334,0.0,0.16666666666666666,-0.32999999999999996,0.5,1
53,0.0,0.3,0.0,0.5,0.5,1.0,0.3333333333333333,1.0,0.5,-0.3,0.5,1
54,0.0,0.03,0.0,0.5,0.5,0.0,0.5,1.0,0.0,-0.03,0.5,1
55,0.0,0.6,0.0,0.0,0.5,1.0,0.5,1.0,0.5,-0.6,0.0,0
56,0.3333333333333333,0.7,1.0,0.75,0.5,1.0,1.0,1.0,0.6666666666666666,-0.36666666666666664,-0.25,1
57,0.0,0.38,0.0,0.75,0.8333333333333334,0.0,0.6666666666666666,0.0,0.5,-0.38,0.75,1
58,0.0,0.85,1.0,0.75,0.8333333333333334,0.0,0.6666666666666666,1.0,0.8333333333333334,-0.85,-0.25,0
59,0.0,0.16,0.0,0.0,0.3333333333333333,1.0,0.5,1.0,0.5,-0.16,0.0,1
60,1.0,0.4,0.0,0.5,0.5,0.0,1.0,1.0,0.5,0.6,0.5,1
61,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.16666666666666666,0.0,0.0,1
62,0.0,0.42,0.0,0.5,0.5,1.0,0.0,1.0,0.5,-0.42,0.5,0
63,0.0,0.8,1.0,0.5,0.3333333333333333,0.0,0.5,1.0,0.5,-0.8,-0.5,0
64,0.0,0.85,1.0,0.25,0.5,1.0,0.5,1.0,0.0,-0.85,-0.75,0
65,0.0,0.6,0.0,0.25,1.0,1.0,1.0,1.0,1.0,-0.6,0.25,0
66,1.0,0.7,0.0,0.25,1.0,0.0,0.5,1.0,0.8333333333333334,0.30000000000000004,0.25,1
67,0.3333333333333333,1.0,0.0,0.25,0.5,1.0,0.8333333333333334,1.0,0.16666666666666666,-0.6666666666666667,0.25,0
68,0.0,0.4,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,-0.4,1.0,1
69,0.0,0.85,0.0,0.0,1.0,1.0,1.0,1.0,0.8333333333333334,-0.85,0.0,0
70,0.5,0.5,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,1.0,1.0,0.0,0.0,1
71,0.0,0.6,0.0,0.25,0.5,1.0,0.5,1.0,0.5,-0.6,0.25,0
72,0.16666666666666666,0.7,0.0,0.25,1.0,0.0,0.8333333333333334,1.0,1.0,-0.5333333333333333,0.25,0
73,0.5,0.15,1.0,0.25,1.0,0.0,0.16666666666666666,0.0,0.5,0.35,-0.75,1
74,0.0,0.15,0.0,0.25,1.0,1.0,0.6666666666666666,1.0,1.0,-0.15,0.25,1
75,0.0,0.85,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.85,0.0,0
76,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,1
77,0.0,0.5,1.0,0.5,0.5,1.0,0.5,1.0,0.5,-0.5,-0.5,0
78,0.0,0.85,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.85,0.0,0
79,0.0,0.42,0.0,0.75,1.0,1.0,0.8333333333333334,1.0,1.0,-0.42,0.75,0
80,0.0,1.0,1.0,0.25,1.0,0.0,0.5,1.0,1.0,-1.0,-0.75,0
81,0.0,0.4,0.0,0.5,1.0,0.0,0.8333333333333334,1.0,0.16666666666666666,-0.4,0.5,1
82,0.0,0.4,0.0,0.75,1.0,1.0,0.6666666666666666,1.0,1.0,-0.4,0.75,1
83,0.0,0.61,0.0,0.0,1.0,1.0,0.5,1.0,1.0,-0.61,0.0,0
84,0.0,0.7,1.0,0.0,1.0,1.0,0.5,1.0,0.5,-0.7,-1.0,0
85,0.6666666666666666,0.85,1.0,0.0,0.3333333333333333,0.0,0.5,1.0,0.16666666666666666,-0.18333333333333335,-1.0,1
86,0.0,0.15,0.0,0.5,1.0,0.0,0.8333333333333334,1.0,0.5,-0.15,0.5,1
87,1.0,0.03,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.97,0.0,1
88,0.0,0.85,1.0,0.5,1.0,1.0,1.0,1.0,1.0,-0.85,-0.5,0
89,0.0,0.5,0.0,0.25,1.0,1.0,0.3333333333333333,0.0,0.5,-0.5,0.25,0
90,0.0,0.7,1.0,0.5,1.0,1.0,0.8333333333333334,1.0,1.0,-0.7,-0.5,0
91,0.0,0.15,0.0,0.25,0.8333333333333334,1.0,0.8333333333333334,1.0,0.8333333333333334,-0.15,0.25,1
92,0.5,0.85,1.0,0.25,0.5,1.0,1.0,1.0,0.5,-0.35,-0.75,1
93,0.0,0.6,1.0,0.0,0.8333333333333334,0.0,0.3333333333333333,1.0,1.0,-0.6,-1.0,0
94,0.0,0.5,0.0,0.25,1.0,1.0,0.8333333333333334,1.0,1.0,-0.5,0.25,0
95,1.0,0.7,1.0,0.25,0.5,1.0,0.5,1.0,0.8333333333333334,0.30000000000000004,-0.75,1
96,0.5,0.6,0.0,0.25,0.5,1.0,0.8333333333333334,1.0,1.0,-0.09999999999999998,0.25,1
97,0.0,0.16,0.0,0.0,0.5,1.0,0.5,1.0,0.0,-0.16,0.0,1
98,0.0,0.0,1.0,0.5,1.0,0.0,0.16666666666666666,1.0,0.5,0.0,-0.5,1
99,0.0,0.5,0.0,0.25,1.0,1.0,0.5,1.0,1.0,-0.5,0.25,0
100,0.3333333333333333,0.6,0.0,0.75,0.5,1.0,0.5,1.0,1.0,-0.26666666666666666,0.75,1
101,0.0,0.4,0.0,0.25,1.0,1.0,1.0,1.0,0.8333333333333334,-0.4,0.25,1
102,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,0
103,0.5,0.15,0.0,0.5,0.8333333333333334,0.0,0.3333333333333333,0.0,0.8333333333333334,0.35,0.5,1
104,0.3333333333333333,0.5,1.0,0.5,0.5,0.0,0.5,1.0,0.5,-0.16666666666666669,-0.5,1
105,0.0,0.5,1.0,0.25,1.0,0.0,1.0,1.0,1.0,-0.5,-0.75,0
106,0.0,0.83,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-0.83,0.0,0
107,0.3333333333333333,0.73,0.0,0.0,1.0,0.0,0.16666666666666666,1.0,1.0,-0.39666666666666667,0.0,1
108,0.0,0.5,1.0,0.25,0.5,1.0,0.5,1.0,0.5,-0.5,-0.75,0
109,0.5,0.72,0.0,0.75,1.0,1.0,0.8333333333333334,1.0,1.0,-0.21999999999999997,0.75,1
